Pays,Code
Afghanistan,93
Afrique du Sud,27
Albanie,355
Algérie,213
Allemagne,49
Andorre,376
Angola,244
Anguilla,1264
Antigua et Barbuda,1268
Arabie Saoudite,966
Argentine,54
Arménie,374
Aruba,297
Ascension (Ile de),247
Aurigny,44 1481
Australie,61
Autriche,43
Azerbaïdjan,994
Bahamas,1242
Bahrein,973
Bangladesh,880
Barbade,1246
Belgique,32
Belize,501
Benin,229
Bermudes,1441
Bhoutan,975
Biélorussie,375
Birmanie (Myanmar),95
Bolivie,591
Bonaire,599-7
Bosnie,387
Botswana,267
Brésil,55
Brunei,673
Bulgarie,359
Burkina Faso,226
Burundi,257
Cambodge,855
Cameroun,237
Canada,1
Cap Vert,238
Chili,56
Chine,86
Christmas (Iles),61
Chypre,357
Coco (Iles),61
Colombie,57
Comores,269
Congo (RDC),243
Congo (RPC),242
Cook (Iles),682
Corée du Nord,850
Corée du Sud,82
Costa Rica,506
Côte d'Ivoire,225
Croatie,385
Cuba,53
Curaçao,599-9
Danemark,45
Djibouti,253
Dominique,1767
Egypte,20
El Salvador,503
Emirats Arabes Unis,971
Equateur,593
Erythrée,291
Espagne,34
Estonie,372
Etats-Unis,1
Ethiopie,251
Falklands (Malouines),500
Fidji (Iles),679
Finlande,358
France,33
Gabon,241
Gambie,220
Georgie,995
Ghana,233
Gibraltar,350
Grèce,30
Grenade,1473
Groenland,299
Guadeloupe,(0)590
Guatemala,502
Guernesey,44 1481
Guinée,224
Guinée Bissau,245
Guinée Equatoriale,240
Guyana,592
Guyane Française,(0)594
Haïti,509
Herm,44 1481
Honduras,504
Hong Kong,852
Hongrie,36
Iles Cayman,1345
Iles Salomon,677
Iles Vierges GB,1284
Iles Vierges USA,1340
Inde,91
Indonésie,62
Irak,964
Iran,98
Irlande,353
Islande,354
Israel,972
Italie,39
Jamaïque,1876
Japon,81
Jersey,44 1534
Jordanie,962
Kazakhstan,7
Kenya,254
Kirghizistan,996
Kiribati,686
Koweit,965
Laos,856
Lesotho,266
Lettonie,371
Liban,961
Libye,218
Liechtenstein,423
Lituanie,370
Luxembourg,352
Macao,853
Macédoine,389
Madagascar,261
Malaisie,60
Malawi,265
Maldives,960
Mali,223
Malte,356
Mariannes (Iles),1670
Maroc,212
Marshall (Iles ),692
Martinique,(0)596
Maurice (Ile),230
Mauritanie,222
Mayotte,269
Mexique,52
Mexique,52
Micronésie,691
Moldavie,373
Monaco,377
Mongolie,976
Montserrat,1664
Mozambique,258
Namibie,264
Nauru,674
Népal,977
Nicaragua,505
Niger,227
Nigeria,234
Norfolk (Iles),672
Norvège,47
Nouvelle Calédonie,687
Nouvelle Zélande,64
Oman,968
Ouganda,256
Ouzbekistan,998
Pakistan,92
Palau,680
Palestine,970
Panama,507
Papouasie Nouvelle Guinée,675
Paraguay,595
Pays-Bas,31
Pérou,51
Philippines,63
Pologne,48
Polynésie Française,689
Porto Rico,1787
Portugal,351
Qatar,974
République Centrafricaine,236
République Dominicaine,1809
République Tchèquee,420
Réunion,(0)262
Roumanie,40
Royaume Uni,44
Russie,7
Russie,7
Rwanda,250
Saint Marin (Rép.),378
Sainte Lucie,1758
Samoa occidental,685
Sao Tomé et Principe,239
Sénégal,221
Sercq,44 1481
Seychelles,248
Sierra Leone,232
Singapour,65
Slovaquie,421
Slovénie,386
Somalie,252
Soudan,249
Sri Lanka,94
St Kitts,1869
St Pierre et Miquelon,508
St Vincent et les Grenadines,1784
Suède,46
Suisse,41
Surinam,597
Swaziland,268
Syrie,963
Tadjikistan,992
Taïwan,886
Tanzanie,255
Tchad,235
Thailande,66
Togo,228
Tonga,676
Trinidad et Tobago,1868
Tunisie,216
Turkmenistan,993
Turks et Caicos,1649
Turquie,90
Turquie,90
Tuvalu,688
Ukraine,380
Uruguay,598
Vanuatu,678
Vatican,39
Venezuela,58
Vietnam,84
Wallis et Futuna,681
Yemen,967
Yougoslavie,381
Zambie,260
Zimbabwe,263
